ID,category,answer_en,answer_hi,keywords_en,keywords_hi
86,Health & Safety,"Under the Employees' State Insurance Act, workers are entitled to medical care and sickness benefits.","कर्मचारी राज्य बीमा अधिनियम के तहत, श्रमिक चिकित्सा देखभाल और बीमारी लाभों के हकदार हैं।","ESIC,medical care","ईएसआईसी,चिकित्सा देखभाल"
87,Health & Safety,"The Employer's Liability Act makes employers liable for injuries sustained by workers at the workplace.","नियोक्ता का दायित्व अधिनियम नियोक्ताओं को कार्यस्थल पर श्रमिकों द्वारा लगी चोटों के लिए उत्तरदायी बनाता है।","employer liability,injury","नियोक्ता का दायित्व,चोट"
88,Health & Safety,"Regular health check-ups for workers in hazardous industries are mandatory under the law.","खतरनाक उद्योगों में श्रमिकों के लिए नियमित स्वास्थ्य जांच कानून के तहत अनिवार्य है।","health check-ups,hazardous industries","स्वास्थ्य जांच,खतरनाक उद्योग"
89,Health & Safety,"Workplaces are required to have adequate ventilation, lighting, and drinking water facilities.","कार्यस्थलों में पर्याप्त वेंटिलेशन, प्रकाश व्यवस्था और पीने के पानी की सुविधाएँ होना आवश्यक है।","workplace facilities,safety","कार्यस्थल सुविधा,सुरक्षा"
90,Health & Safety,"Employers must provide a suitable restroom and shelter for workers to rest during breaks.","नियोक्ताओं को अवकाश के दौरान श्रमिकों को आराम करने के लिए एक उपयुक्त शौचालय और आश्रय प्रदान करना होगा।","restroom,shelter","शौचालय,आश्रय"
91,Health & Safety,"Regular cleaning of workplaces, proper disposal of waste, and a clean environment are mandatory.","कार्यस्थलों की नियमित सफाई, कचरे का उचित निपटान और एक स्वच्छ वातावरण अनिवार्य है।","workplace hygiene,cleaning","कार्यस्थल स्वच्छता,सफाई"
92,Wages & Payments,"Overtime is calculated based on the worker's basic wage and is typically double the normal rate.","ओवरटाइम की गणना श्रमिक की मूल मजदूरी के आधार पर की जाती है और यह सामान्य दर से दोगुना होता है।","overtime calculation,basic wage","ओवरटाइम गणना,मूल मजदूरी"
93,Wages & Payments,"According to the Payment of Wages Act, wages must be paid before the 7th day of the next month.","भुगतान मजदूरी अधिनियम के अनुसार, मजदूरी अगले महीने की 7 तारीख से पहले दी जानी चाहिए।","payment of wages act","भुगतान मजदूरी अधिनियम"
94,Wages & Payments,"The Payment of Bonus Act makes it mandatory for employers to pay a bonus to workers annually.","बोनस भुगतान अधिनियम नियोक्ताओं के लिए श्रमिकों को सालाना बोनस का भुगतान करना अनिवार्य बनाता है।","bonus,payment of bonus act","बोनस,बोनस भुगतान अधिनियम"
95,Wages & Payments,"Employers cannot make unauthorized deductions from a worker's wages.","नियोक्ता श्रमिक के वेतन से अनधिकृत कटौती नहीं कर सकते।","wage deductions,unauthorized","वेतन कटौती,अनधिकृत"
96,Wages & Payments,"Final wages must be paid to a worker within two days of their resignation or termination.","किसी श्रमिक के इस्तीफे या समाप्ति के दो दिनों के भीतर अंतिम मजदूरी का भुगतान किया जाना चाहिए।","final wages,payment","अंतिम मजदूरी,भुगतान"
97,Wages & Payments,"Wages must be paid in cash or through bank transfer, as per the worker's choice.","श्रमिक की पसंद के अनुसार, मजदूरी का भुगतान नकद या बैंक हस्तांतरण के माध्यम से किया जाना चाहिए।","wage payment,cash,bank transfer","मजदूरी भुगतान,नकद,बैंक हस्तांतरण"
98,Registration & Compliance,"A labour licence is required for contractors who hire 20 or more contract workers.","20 या उससे अधिक संविदा श्रमिकों को काम पर रखने वाले ठेकेदारों के लिए एक श्रमिक लाइसेंस आवश्यक है।","labour licence,contract workers","श्रमिक लाइसेंस,संविदा श्रमिक"
99,Registration & Compliance,"The Labour Law Compliance Portal (Shram Suvidha) simplifies the filing of various labour-related returns.","श्रम कानून अनुपालन पोर्टल (श्रम सुविधा) विभिन्न श्रम-संबंधी रिटर्न दाखिल करने को सरल बनाता है।","shram suvidha,compliance portal","श्रम सुविधा,अनुपालन"
100,Registration & Compliance,"Employers with 10 or more workers must register under the Factories Act, 1948.","10 या अधिक श्रमिकों वाले नियोक्ताओं को कारखाना अधिनियम, 1948 के तहत पंजीकरण करना होगा।","factories act,registration","कारखाना अधिनियम,पंजीकरण"
101,Registration & Compliance,"All establishments employing 10 or more workers must register under the Shops and Establishments Act.","10 या अधिक श्रमिकों को रोजगार देने वाले सभी प्रतिष्ठानों को दुकानें और प्रतिष्ठान अधिनियम के तहत पंजीकरण करना होगा।","shops act,registration","दुकानें अधिनियम,पंजीकरण"
102,Registration & Compliance,"Establishments must maintain registers and records of their workers, wages, and working hours.","प्रतिष्ठानों को अपने श्रमिकों, मजदूरी और काम के घंटों के रजिस्टर और रिकॉर्ड बनाए रखना चाहिए।","records,registers","रिकॉर्ड,रजिस्टर"
103,Migration & Identity,"Interstate migrant workers can register on the E-Shram portal to avail benefits in any state.","अंतरराज्यीय प्रवासी श्रमिक किसी भी राज्य में लाभ उठाने के लिए ई-श्रम पोर्टल पर पंजीकरण कर सकते हैं।","migrant workers,interstate","प्रवासी श्रमिक,अंतरराज्यीय"
104,Migration & Identity,"The Interstate Migrant Workmen Act, 1979, protects the rights of migrant workers.","अंतरराज्यीय प्रवासी कामगार अधिनियम, 1979, प्रवासी श्रमिकों के अधिकारों की रक्षा करता है।","migrant workmen act","प्रवासी कामगार अधिनियम"
105,Grievances & Helplines,"The Industrial Disputes Act, 1947, has provisions for resolving industrial disputes and worker grievances.","औद्योगिक विवाद अधिनियम, 1947 में औद्योगिक विवादों और श्रमिक शिकायतों के समाधान के प्रावधान हैं।","industrial disputes,grievances","औद्योगिक विवाद,शिकायत"
106,Grievances & Helplines,"The MP Labour Department has a dedicated grievance redressal system for workers.","एमपी श्रम विभाग के पास श्रमिकों के लिए एक समर्पित शिकायत निवारण प्रणाली है।","grievance redressal,labour department","शिकायत निवारण,श्रम विभाग"
107,Grievances & Helplines,"Workers can also approach the local Labour Inspector to resolve minor disputes.","श्रमिक छोटे-मोटे विवादों को हल करने के लिए स्थानीय श्रम निरीक्षक से भी संपर्क कर सकते हैं।","labour inspector,disputes","श्रम निरीक्षक,विवाद"
108,Women & Child Welfare,"The Child Labour (Prohibition & Regulation) Act, 1986, prohibits the employment of children below 14.","बाल श्रम (निषेध और विनियमन) अधिनियम, 1986, 14 वर्ष से कम उम्र के बच्चों के रोजगार पर प्रतिबंध लगाता है।","child labour act","बाल श्रम अधिनियम"
109,Women & Child Welfare,"The Maternity Benefit Act, 1961, ensures paid leave and benefits for women workers during maternity.","मातृत्व लाभ अधिनियम, 1961, मातृत्व के दौरान महिला श्रमिकों के लिए सशुल्क छुट्टी और लाभ सुनिश्चित करता है।","maternity benefit act","मातृत्व लाभ अधिनियम"
110,Licensing & Permits,"The renewal of a licence must be done at least 30 days before its expiry date.","लाइसेंस का नवीनीकरण उसकी समाप्ति तिथि से कम से कम 30 दिन पहले किया जाना चाहिए।","licence renewal,30 days","लाइसेंस नवीनीकरण,30 दिन"
111,Licensing & Permits,"The Contract Labour Act prohibits the employment of contract labour in certain core activities of an establishment.","ठेका श्रम अधिनियम एक प्रतिष्ठान की कुछ मुख्य गतिविधियों में संविदा श्रम के रोजगार पर प्रतिबंध लगाता है।","contract labour,prohibition","ठेका श्रम,प्रतिबंध"
112,Licensing & Permits,"A licence under the Contract Labour (Regulation & Abolition) Act, 1970, is mandatory for contractors.","ठेका श्रम (विनियमन और उन्मूलन) अधिनियम, 1970 के तहत एक लाइसेंस ठेकेदारों के लिए अनिवार्य है।","clra licence,contract labour","सीएलआरए लाइसेंस,ठेका श्रम"
113,Social Security,"The Employees' Provident Funds and Miscellaneous Provisions Act provides for provident fund and pension.","कर्मचारी भविष्य निधि और विविध प्रावधान अधिनियम भविष्य निधि और पेंशन का प्रावधान करता है।","epf act,pension","ईपीएफ अधिनियम,पेंशन"
114,Technical Support,"In case of any technical problem, you can send your problem via e-mail to lcmpit@mp.gov.in or commlab@nic.in.","किसी भी तकनीकी समस्या की स्थिति में, आप अपनी समस्या ई-मेल के माध्यम से lcmpit@mp.gov.in या commlab@nic.in पर भेज सकते हैं।","technical support,email support","तकनीकी सहायता,ईमेल सहायता"
115,Documents,"The documents required for the application will be uploaded on the portal in digital format only.","आवेदन के लिए आवश्यक दस्तावेज डिजिटल प्रारूप में ही पोर्टल पर अपलोड किए जाएंगे।","documents,upload,digital format","दस्तावेज,अपलोड,डिजिटल प्रारूप"
116,Documents,"The applicant will have to arrange the documents required for the application as per the instructions given on the portal.","आवेदक को पोर्टल पर दिए गए निर्देशों के अनुसार आवेदन के लिए आवश्यक दस्तावेजों की व्यवस्था करनी होगी।","documents,arrange","दस्तावेज,व्यवस्था"
117,Documents,"A list of required documents is available on the portal itself.","आवश्यक दस्तावेजों की सूची पोर्टल पर ही उपलब्ध है।","list of documents,portal","दस्तावेजों की सूची,पोर्टल"
118,Documents,"Documents can be scanned from the scanner and uploaded digitally.","दस्तावेजों को स्कैनर से स्कैन करके डिजिटल रूप से अपलोड किया जा सकता है।","scan documents,upload digitally","दस्तावेज स्कैन करें,डिजिटल अपलोड"
119,Fees,"The fees related to the service will have to be paid online only through the portal.","सेवा से संबंधित शुल्क का भुगतान केवल पोर्टल के माध्यम से ऑनलाइन ही करना होगा।","fees,online payment","शुल्क,ऑनलाइन भुगतान"
120,Fees,"The fees related to the service are as per the provisions of the Acts/Rules. The details of the fees are available on the portal itself.","सेवा से संबंधित शुल्क अधिनियमों/नियमों के प्रावधानों के अनुसार हैं। शुल्क का विवरण पोर्टल पर ही उपलब्ध है।","fees,provisions","शुल्क,प्रावधान"
121,Fees,"Fees related to all the services of the Labour Department are collected online only through the Shram Seva Portal.","श्रम विभाग की सभी सेवाओं से संबंधित शुल्क केवल श्रम सेवा पोर्टल के माध्यम से ऑनलाइन एकत्र किए जाते हैं।","fees,online collection","शुल्क,ऑनलाइन संग्रह"
122,Fees,"You have to pay fees through online payment only. Fees can be paid through Net Banking, Debit Card, Credit Card, UPI.","आपको केवल ऑनलाइन भुगतान के माध्यम से शुल्क का भुगतान करना होगा। शुल्क का भुगतान नेट बैंकिंग, डेबिट कार्ड, क्रेडिट कार्ड, यूपीआई के माध्यम से किया जा सकता है।","online payment,payment methods","ऑनलाइन भुगतान,भुगतान विधियां"
123,E-Services,"E-services are available on the portal for the services provided by the Labour Department.","श्रम विभाग द्वारा प्रदान की जाने वाली सेवाओं के लिए ई-सेवाएं पोर्टल पर उपलब्ध हैं।","e-services,portal","ई-सेवाएं,पोर्टल"
124,E-Services,"An e-service is an electronic service that can be availed online.","ई-सेवा एक इलेक्ट्रॉनिक सेवा है जिसका लाभ ऑनलाइन उठाया जा सकता है।","e-service,online","ई-सेवा,ऑनलाइन"
125,E-Services,"All the services of the Labour Department are available on the portal as e-services.","श्रम विभाग की सभी सेवाएं ई-सेवाओं के रूप में पोर्टल पर उपलब्ध हैं।","e-services,labour department","ई-सेवाएं,श्रम विभाग"
126,Inspection List,"The inspection list is released on the basis of 15 risk-based parameters to inspect shops, establishments and factories.","निरीक्षण सूची दुकानों, प्रतिष्ठानों और कारखानों का निरीक्षण करने के लिए 15 जोखिम-आधारित मापदंडों के आधार पर जारी की जाती है।","inspection list,risk-based parameters","निरीक्षण सूची,जोखिम-आधारित मापदंड"
127,Inspection List,"The inspection list is released by the Shram Seva Portal.","निरीक्षण सूची श्रम सेवा पोर्टल द्वारा जारी की जाती है।","inspection list,shram seva portal","निरीक्षण सूची,श्रम सेवा पोर्टल"
128,Inspection List,"The basis for issuing the inspection list by the Shram Seva Portal is the 15 risk-based parameters for shops, establishments and factories.","श्रम सेवा पोर्टल द्वारा निरीक्षण सूची जारी करने का आधार दुकानों, प्रतिष्ठानों और कारखानों के लिए 15 जोखिम-आधारित मापदंड हैं।","inspection list,15 parameters","निरीक्षण सूची,15 मापदंड"
129,Inspection List,"The inspection list is for shops, establishments and factories that come under the Labour Department.","निरीक्षण सूची उन दुकानों, प्रतिष्ठानों और कारखानों के लिए है जो श्रम विभाग के अंतर्गत आते हैं।","inspection list,labour department","निरीक्षण सूची,श्रम विभाग"
130,Inspection List,"All shops, establishments, and factories under the Labour Department are selected for inspection based on 15 risk-based parameters. Institutions/factories with higher risk are proposed to be inspected on a priority basis.","श्रम विभाग के अंतर्गत आने वाले सभी दुकानों, प्रतिष्ठानों और कारखानों का निरीक्षण 15 जोखिम-आधारित मापदंडों के आधार पर किया जाता है। अधिक जोखिम आधारित संस्थानों/कारखानों का निरीक्षण प्राथमिकता के आधार पर प्रस्तावित है।","inspection list,priority","निरीक्षण सूची,प्राथमिकता"
131,Technical Support,"In case of any technical problem, you can send your problem via e-mail to lcmpit@mp.gov.in or commlab@nic.in. Please write your name and mobile number along with the e-mail of the problem so that you can be contacted if necessary, and attach a screenshot of the problem.","किसी भी तकनीकी समस्या की स्थिति में, आप अपनी समस्या ई-मेल के माध्यम से lcmpit@mp.gov.in या commlab@nic.in पर भेज सकते हैं। कृपया समस्या के ई-मेल के साथ अपना नाम और मोबाइल नंबर लिखें ताकि आवश्यकता पड़ने पर आपसे संपर्क किया जा सके और समस्या का स्क्रीन शॉट संलग्न करें।","technical support,email support","तकनीकी सहायता,ईमेल सहायता"
132,Technical Support,"You can send your problem via e-mail to lcmpit@mp.gov.in or commlab@nic.in.","आप अपनी समस्या ई-मेल के माध्यम से lcmpit@mp.gov.in या commlab@nic.in पर भेज सकते हैं।","email support","ईमेल सहायता"
133,Technical Support,"You can get technical support by sending an e-mail.","आप ई-मेल भेजकर तकनीकी सहायता प्राप्त कर सकते हैं।","technical support","तकनीकी सहायता"
134,Technical Support,"You can send your problem to lcmpit@mp.gov.in or commlab@nic.in.","आप अपनी समस्या lcmpit@mp.gov.in या commlab@nic.in पर भेज सकते हैं।","email address","ईमेल पता"
135,Technical Support,"It is necessary to write your name and mobile number along with the e-mail of the problem so that you can be contacted if necessary.","आपसे संपर्क किया जा सके, इसके लिए समस्या के ई-मेल के साथ अपना नाम और मोबाइल नंबर लिखना आवश्यक है।","contact details,email","संपर्क विवरण,ईमेल"
136,Technical Support,"You should also attach a screenshot of the problem with the e-mail.","आपको ई-मेल के साथ समस्या का स्क्रीन शॉट भी संलग्न करना चाहिए।","screenshot,attach","स्क्रीनशॉट,संलग्न करें"
137,Technical Support,"The problem can be solved with the help of e-mail.","ई-मेल की मदद से समस्या का समाधान किया जा सकता है।","solve problem,email","समस्या समाधान,ईमेल"
138,General,"The services of the Labour Department can be availed online on the Shram Seva Portal.","श्रम विभाग की सेवाओं का लाभ श्रम सेवा पोर्टल पर ऑनलाइन उठाया जा सकता है।","labour department,shram seva portal","श्रम विभाग,श्रम सेवा पोर्टल"
139,General,"The services of the Labour Department are provided as per the provisions of the Labour Acts.","श्रम विभाग की सेवाएं श्रम अधिनियमों के प्रावधानों के अनुसार प्रदान की जाती हैं।","labour acts,provisions","श्रम अधिनियम,प्रावधान"
140,General,"All the services of the Labour Department are available on the portal as e-services.","श्रम विभाग की सभी सेवाएं ई-सेवाओं के रूप में पोर्टल पर उपलब्ध हैं।","e-services,labour department","ई-सेवाएं,श्रम विभाग"
141,General,"The status of the application can be tracked from time to time on the portal through the docket number and password.","डॉकेट नंबर और पासवर्ड के माध्यम से पोर्टल पर आवेदन की स्थिति को समय-समय पर ट्रैक किया जा सकता है।","track status,docket number","स्थिति ट्रैक करें,डॉकेट नंबर"
142,General,"You can get technical support by sending an e-mail to lcmpit@mp.gov.in or commlab@nic.in.","आप lcmpit@mp.gov.in या commlab@nic.in पर ई-मेल भेजकर तकनीकी सहायता प्राप्त कर सकते हैं।","technical support,email","तकनीकी सहायता,ईमेल"
143,General,"The link to the documents are avaliable on our app","हमारे ऐप पर दस्तावेज़ों के लिए लिंक उपलब्ध हैं।","documents,app","दस्तावेज़,ऐप"
144,General,"The fees related to the services are collected online only through the portal.","सेवाओं से संबंधित शुल्क केवल पोर्टल के माध्यम से ऑनलाइन एकत्र किए जाते हैं।","fees,online payment","शुल्क,ऑनलाइन भुगतान"
145,General,"The documents required for the application will be uploaded on the portal in digital format only.","आवेदन के लिए आवश्यक दस्तावेज डिजिटल प्रारूप में ही पोर्टल पर अपलोड किए जाएंगे।","documents,digital format","दस्तावेज,डिजिटल प्रारूप"
146,General,"The registration process is completely online, hence the presence of the applicant in the office is not necessary.","पंजीकरण की प्रक्रिया पूरी तरह से ऑनलाइन है, अतः आवेदक की कार्यालय में उपस्थिति आवश्यक नहीं है।","registration,online","पंजीकरण,ऑनलाइन"
147,General,"For the services of the Labour Department, it is necessary to get the registration done on the Shram Seva Portal.","श्रम विभाग की सेवाओं के लिए, श्रम सेवा पोर्टल पर पंजीकरण कराना आवश्यक है।","registration,shram seva","पंजीकरण,श्रम सेवा"
148,General,"The inspection list is for shops, establishments and factories that come under the Labour Department.","निरीक्षण सूची उन दुकानों, प्रतिष्ठानों और कारखानों के लिए है जो श्रम विभाग के अंतर्गत आते हैं।","inspection list,labour department","निरीक्षण सूची,श्रम विभाग"
149,General,"The inspection list is released on the basis of 15 risk-based parameters to inspect shops, establishments and factories.","निरीक्षण सूची दुकानों, प्रतिष्ठानों और कारखानों का निरीक्षण करने के लिए 15 जोखिम-आधारित मापदंडों के आधार पर जारी की जाती है।","inspection list,risk-based","निरीक्षण सूची,जोखिम-आधारित"
150,General,"You can file a complaint with the Labour Commissioner's Office if they are paid less than the minimum wage.","यदि श्रमिकों को न्यूनतम मजदूरी से कम भुगतान किया जाता है, तो वे श्रम आयुक्त कार्यालय में शिकायत दर्ज कर सकते हैं।","complaint,minimum wage","शिकायत,न्यूनतम मजदूरी"
151,General,"The final settlement of wages must be done within two days of a worker's resignation or termination.","एक श्रमिक के इस्तीफे या समाप्ति के दो दिनों के भीतर मजदूरी का अंतिम निपटान किया जाना चाहिए।","final wages,resignation","अंतिम मजदूरी,इस्तीफा"
152,General,"Wages can be paid in cash or through bank transfer, as per the worker's choice.","श्रमिक की पसंद के अनुसार, मजदूरी का भुगतान नकद या बैंक हस्तांतरण के माध्यम से किया जा सकता है।","payment method,cash","भुगतान विधि,नकद"
153,General,"A worker can approach the local Labour Inspector or the Labour Commissioner's Office for complaint redressal.","एक श्रमिक शिकायत निवारण के लिए स्थानीय श्रम निरीक्षक या श्रम आयुक्त कार्यालय से संपर्क कर सकता है।","complaint,labour inspector","शिकायत,श्रम निरीक्षक"
154,General,"Workers have the right to join or form a trade union for protecting their rights.","श्रमिकों को अपने अधिकारों की रक्षा के लिए एक ट्रेड यूनियन में शामिल होने या बनाने का अधिकार है।","trade union,worker rights","ट्रेड यूनियन,श्रमिक अधिकार"
155,General,"The Equal Remuneration Act, 1976, ensures that men and women get equal pay for equal work.","समान पारिश्रमिक अधिनियम, 1976, यह सुनिश्चित करता है कि पुरुषों और महिलाओं को समान काम के लिए समान वेतन मिले।","equal pay,equal work","समान वेतन,समान काम"
156,General,"The Child Labour Act, 1986, prohibits the employment of children below 14 years.","बाल श्रम अधिनियम, 1986, 14 वर्ष से कम उम्र के बच्चों के रोजगार पर प्रतिबंध लगाता है।","child labour,prohibition","बाल श्रम,निषेध"
157,General,"Workplaces with over 30 women must provide crèche facilities for children below 6 years.","30 से अधिक महिला श्रमिकों वाले कार्यस्थलों पर 6 वर्ष से कम उम्र के बच्चों के लिए क्रेच सुविधाएं प्रदान करना होगा।","creche facility,women workers","क्रेच सुविधा,महिला श्रमिक"
158,General,"Women workers are entitled to 26 weeks of paid maternity leave under the Maternity Benefit Act, 1961.","मातृत्व लाभ अधिनियम, 1961 के तहत महिला श्रमिक 26 सप्ताह के सशुल्क मातृत्व अवकाश के हकदार हैं।","maternity benefit,paid leave","मातृत्व लाभ,सशुल्क अवकाश"
159,General,"Women in the unorganised sector may get cash assistance and benefits under government schemes like PMMVY.","असंगठित क्षेत्र में महिलाओं को पीएमएमवीवाई जैसी सरकारी योजनाओं के माध्यम से नकद सहायता और लाभ मिल सकते हैं।","maternity benefits,unorganised sector","मातृत्व लाभ,असंगठित क्षेत्र"
160,General,"The MP Labour Department has a dedicated online portal for grievance redressal.","एमपी श्रम विभाग के पास शिकायत निवारण के लिए एक समर्पित ऑनलाइन पोर्टल है।","grievance portal,labour department","शिकायत पोर्टल,श्रम विभाग"
161,General,"The MP Labour Helpline number is 155214.","एमपी श्रम हेल्पलाइन नंबर 155214 है।","helpline,contact","हेल्पलाइन,संपर्क"
162,General,"Migrant workers have the right to equal wages, housing, and social security like local workers.","प्रवासी श्रमिकों को स्थानीय श्रमिकों की तरह समान मजदूरी, आवास और सामाजिक सुरक्षा का अधिकार होता है।","migrant workers,rights","प्रवासी श्रमिक,अधिकार"
163,General,"The E-Shram card is a national identity card and is valid across India.","ई-श्रम कार्ड एक राष्ट्रीय पहचान पत्र है और पूरे भारत में मान्य है।","e-shram card,validity","ई-श्रम कार्ड,मान्यता"
164,General,"You can update Aadhaar details online on eshram.gov.in or visit a CSC centre.","आप eshram.gov.in पर ऑनलाइन आधार अपडेट कर सकते हैं या सीएससी केंद्र जा सकते हैं।","aadhaar,e-shram,update","आधार,ई-श्रम,अपडेट"
165,General,"Under the Pradhan Mantri Awas Yojana, eligible laborers can get financial assistance for constructing a house.","प्रधानमंत्री आवास योजना के तहत, पात्र श्रमिकों को घर बनाने के लिए वित्तीय सहायता मिल सकती है।","awas yojana,housing scheme","आवास योजना,घर"
166,General,"Employers must provide safety gear like helmet, gloves, and shoes for free.","नियोक्ताओं को हेलमेट, दस्ताने और जूते जैसे सुरक्षा उपकरण मुफ्त प्रदान करने होंगे।","safety gear,ppe","सुरक्षा उपकरण,पीपीई"
167,General,"The Factories Act, 1948, makes it mandatory for factories to ensure the safety and health of their workers.","कारखाना अधिनियम, 1948, कारखानों के लिए श्रमिकों की सुरक्षा और स्वास्थ्य सुनिश्चित करना अनिवार्य बनाता है।","factories act,safety,health","कारखाना अधिनियम,सुरक्षा,स्वास्थ्य"
168,General,"Workplaces with over 100 workers must have an ambulance room for first aid and medical emergencies.","100 से अधिक श्रमिकों वाले कार्यस्थलों पर प्राथमिक चिकित्सा और चिकित्सा आपात स्थितियों के लिए एक एम्बुलेंस कक्ष होना चाहिए।","ambulance room,first aid","एम्बुलेंस कक्ष,प्राथमिक चिकित्सा"
169,General,"The bonus is calculated as 8.33% of the worker's salary or a minimum of ₹100, whichever is higher.","बोनस की गणना श्रमिक के वेतन के 8.33% या न्यूनतम ₹100, जो भी अधिक हो, के रूप में की जाती है","bonus,calculation","बोनस,गणना"
170,General,"If workers do overtime, they must be paid double the normal wage rate.","यदि श्रमिक ओवरटाइम करते हैं, तो उन्हें सामान्य मजदूरी दर का दोगुना भुगतान किया जाना चाहिए।","overtime,rules","ओवरटाइम,नियम"
171,General,"Yes, workers have the right to refuse unsafe work without losing wages.","हाँ, श्रमिकों को मजदूरी खोए बिना असुरक्षित काम करने से मना करने का अधिकार है।","unsafe work,refuse","असुरक्षित काम,मना करना"
172,General,"Regular cleaning of workplaces, proper disposal of waste, and a clean environment are mandatory.","कार्यस्थलों की नियमित सफाई, कचरे का उचित निपटान और एक स्वच्छ वातावरण अनिवार्य है।","workplace hygiene,cleaning","कार्यस्थल स्वच्छता,सफाई"
173,General,"Regular health check-ups for workers in hazardous industries are mandatory under the law.","खतरनाक उद्योगों में श्रमिकों के लिए नियमित स्वास्थ्य जांच कानून के तहत अनिवार्य है।","health check-ups,hazardous industries","स्वास्थ्य जांच,खतरनाक उद्योग"
174,General,"The Employer's Liability Act makes employers liable for injuries sustained by workers at the workplace.","नियोक्ता का दायित्व अधिनियम नियोक्ताओं को कार्यस्थल पर श्रमिकों द्वारा लगी चोटों के लिए उत्तरदायी बनाता है।","employer liability,injury","नियोक्ता का दायित्व,चोट"
175,General,"Workers have the right to a safe working environment and regular breaks.","श्रमिकों को एक सुरक्षित कार्य वातावरण और नियमित अवकाश का अधिकार है।","worker rights,safe environment","श्रमिक अधिकार,सुरक्षित वातावरण"
176,General,"Final wages must be paid to a worker within two days of their resignation or termination.","किसी श्रमिक के इस्तीफे या समाप्ति के दो दिनों के भीतर अंतिम मजदूरी का भुगतान किया जाना चाहिए।","final wages,payment","अंतिम मजदूरी,भुगतान"
177,General,"Employers cannot make unauthorized deductions from a worker's wages.","नियोक्ता श्रमिक के वेतन से अनधिकृत कटौती नहीं कर सकते।","wage deductions,unauthorized","वेतन कटौती,अनधिकृत"
178,General,"Wages must be paid in cash or through bank transfer, as per the worker's choice.","श्रमिक की पसंद के अनुसार, मजदूरी का भुगतान नकद या बैंक हस्तांतरण के माध्यम से किया जाना चाहिए।","wage payment,cash,bank transfer","मजदूरी भुगतान,नकद,बैंक हस्तांतरण"
179,General,"Employers must provide a suitable restroom and shelter for workers to rest during breaks.","नियोक्ताओं को अवकाश के दौरान श्रमिकों को आराम करने के लिए एक उपयुक्त शौचालय और आश्रय प्रदान करना होगा।","restroom,shelter","शौचालय,आश्रय"
180,General,"The Maternity Benefit Act, 1961, ensures paid leave and benefits for women workers during maternity.","मातृत्व लाभ अधिनियम, 1961, मातृत्व के दौरान महिला श्रमिकों के लिए सशुल्क छुट्टी और लाभ सुनिश्चित करता है।","maternity benefit act,paid leave","मातृत्व लाभ अधिनियम,सशुल्क अवकाश"
181,General,"The Trade Unions Act, 1926, provides for the registration and regulation of trade unions.","ट्रेड यूनियंस अधिनियम, 1926, ट्रेड यूनियनों के पंजीकरण और विनियमन का प्रावधान करता है।","trade unions act,registration","ट्रेड यूनियंस अधिनियम,पंजीकरण"
182,General,"The Interstate Migrant Workmen Act, 1979, protects the rights of migrant workers.","अंतरराज्यीय प्रवासी कामगार अधिनियम, 1979, प्रवासी श्रमिकों के अधिकारों की रक्षा करता है।","interstate migrant workmen act,rights","अंतरराज्यीय प्रवासी कामगार अधिनियम,अधिकार"
183,General,"A worker is entitled to an annual leave with wages after working for a continuous period of 240 days.","एक श्रमिक लगातार 240 दिनों तक काम करने के बाद मजदूरी के साथ वार्षिक अवकाश का हकदार है।","annual leave,paid leave","वार्षिक अवकाश,सशुल्क अवकाश"
184,General,"A worker is entitled to one paid holiday for every 20 days of work.","एक श्रमिक हर 20 दिनों के काम के लिए एक सशुल्क छुट्टी का हकदार है।","paid holiday,leave","सशुल्क छुट्टी,अवकाश"
185,General,"Employers with 10 or more workers must register under the Factories Act, 1948.","10 या अधिक श्रमिकों वाले नियोक्ताओं को कारखाना अधिनियम, 1948 के तहत पंजीकरण करना होगा।","factories act,registration","कारखाना अधिनियम,पंजीकरण"
186,General,"All establishments employing 10 or more workers must register under the Shops and Establishments Act.","10 या अधिक श्रमिकों को रोजगार देने वाले सभी प्रतिष्ठानों को दुकानें और प्रतिष्ठान अधिनियम के तहत पंजीकरण करना होगा।","shops and establishments act,registration","दुकानें और प्रतिष्ठान अधिनियम,पंजीकरण"
187,General,"The Labour Law Compliance Portal (Shram Suvidha) simplifies the filing of various labour-related returns.","श्रम कानून अनुपालन पोर्टल (श्रम सुविधा) विभिन्न श्रम-संबंधी रिटर्न दाखिल करने को सरल बनाता है।","shram suvidha,compliance portal","श्रम कानून अनुपालन,श्रम सुविधा"
188,General,"Establishments must maintain registers and records of their workers, wages, and working hours.","प्रतिष्ठानों को अपने श्रमिकों, मजदूरी और काम के घंटों के रजिस्टर और रिकॉर्ड बनाए रखना चाहिए।","records,registers","रिकॉर्ड,रजिस्टर"
189,General,"A licence under the Contract Labour (Regulation & Abolition) Act, 1970, is mandatory for contractors.","ठेका श्रम (विनियमन और उन्मूलन) अधिनियम, 1970 के तहत एक लाइसेंस ठेकेदारों के लिए अनिवार्य है।","contract labour act,licence","ठेका श्रम अधिनियम,लाइसेंस"
190,General,"The renewal of a licence must be done at least 30 days before its expiry date.","लाइसेंस का नवीनीकरण उसकी समाप्ति तिथि से कम से कम 30 दिन पहले किया जाना चाहिए।","licence renewal,30 days","लाइसेंस नवीनीकरण,30 दिन"
